Tag Groups is the Advanced Way to Display Your Taxonomy Terms;https://ru.wordpress.org/plugins/tag-groups/;Tag Groups allows you to organize your WordPress taxonomy terms and show them in clouds,…;4 000+ активных установок;6.3.2
Content Slider Block — Display slider in a beautiful way.;https://ru.wordpress.org/plugins/content-slider-block/;Display your goal to your visitor in a beautiful way with the content slider block.;3 000+ активных установок;6.3.2
YITH Slider for page builders;https://ru.wordpress.org/plugins/yith-slider-for-page-builders/;"""YITH Slider for page Builders"" добавит на ваш сайт классные блочно-ориентированные слайдеры. Работает с редактором…";3 000+ активных установок;6.2.3
Custom Related Posts;https://ru.wordpress.org/plugins/custom-related-posts/;Manual related posts without slowing down your website!;3 000+ активных установок;6.3.2
Modal Popup Box — Popup Builder, Show Offers And News in Popup;https://ru.wordpress.org/plugins/modal-popup-box/;Modal popup box embed anything like image, YouTube & Vimeo videos, image gallery, slider, coupon,…;3 000+ активных установок;6.3.2
Social Media Feed — Social Feed Gallery With API;https://ru.wordpress.org/plugins/wp-instagram-feed-awplife/;"The ""Social Media Feed for Instagram"" is a simple and elegant plugin for displaying Social…";3 000+ активных установок;6.3.2
Animated Live Wall — Photo Animation, Feed Gallery Image Change Animation;https://ru.wordpress.org/plugins/animated-live-wall/;Анимированная живая галерея создает фотостену с анимированными переключающимися блоками, которые могут быть созданы с помощью…;3 000+ активных установок;6.3.2
Gutenberg Blocks — Unlimited blocks For Gutenberg;https://ru.wordpress.org/plugins/unlimited-blocks/;Unlimited Blocks: WordPress Gutenberg Blocks is the editor blocks that are used to create content…;3 000+ активных установок;6.2.3
Contact Form — Custom Builder, Payment Form, and More;https://ru.wordpress.org/plugins/powr-pack/;The best 60 plugins for WP. Easy contact form plugin, social feed, popup, countdown, and…;3 000+ активных установок;6.0.6
Media Slider — Photo Sleder, Video Slider, Link Slider, Carousal Slideshow;https://ru.wordpress.org/plugins/media-slider/;Media Slider — потрясающий и простой в создании слайдер для сайта WordPress. Отзывчивый слайдер изображений,…;3 000+ активных установок;6.3.2
Organic Profile Block;https://ru.wordpress.org/plugins/organic-profile-block/;Organic Profile Block — это пользовательский блок для редактора содержимого Gutenberg. Он выводит карточку-профиль с…;3 000+ активных установок;5.7.10
KaTeX;https://ru.wordpress.org/plugins/katex/;Используйте быстрейшую математическую библиотеку для набора формул на вашем сайте.;3 000+ активных установок;6.1.4
Image Gallery Block;https://ru.wordpress.org/plugins/image-gallery-block/;Произведите впечатление на свою аудиторию красивой галереей изображений с лайтбоксами.;3 000+ активных установок;6.2.3
Easy Maps Block;https://ru.wordpress.org/plugins/easy-maps-block/;Insert a Google Map into the Gutenberg editor.;3 000+ активных установок;6.3.2
Contact Form Builder, Contact Widget;https://ru.wordpress.org/plugins/contact-forms-builder/;Contact Form plugin is an handy and functional tool for creating and editing different types…;3 000+ активных установок;6.2.3
Simple Payment Donations & Subscriptions Plugin by Paymattic — Best Payments Plugin for WP;https://ru.wordpress.org/plugins/wp-payment-form/;Accept simple payments and donations with Stripe payment forms for free — #1 WP simple…;3 000+ активных установок;6.2.3
Grids: Layout builder for WordPress;https://ru.wordpress.org/plugins/grids/;The most advanced page and layout builder for Gutenberg and the new Block Editor, with…;3 000+ активных установок;6.0.6
Slider Responsive Slideshow — Image slider, Gallery slideshow;https://ru.wordpress.org/plugins/slider-responsive-slideshow/;Плагин адаптивного слайдера для вашего сайта WordPress. Карусель, слайдер изображений, слайдер фотографий, галерея слайдеров.;3 000+ активных установок;6.3.2
Gutenberg Block for WooCommerce Product Table;https://ru.wordpress.org/plugins/block-for-woo-product-table/;A WordPress editor block which implements the options found in the WooCommerce Product Table shortcode;3 000+ активных установок;6.2.3
Caxton — Create Pro page layouts in Gutenberg;https://ru.wordpress.org/plugins/caxton/;Caxton bring to you super useful blocks which make your Gutenberg more and more powerful.;3 000+ активных установок;6.3.2
CodeMirror Blocks;https://ru.wordpress.org/plugins/wp-codemirror-block/;CodeMirror Blocks is useful for developers blog, tutorial site where display formatted (highlighted) code of…;3 000+ активных установок;6.1.4
Call to Action Block — WPPOOL;https://ru.wordpress.org/plugins/call-to-action-block-wppool/;Add a stunning call to action (CTA) block to your WordPress post or page using…;3 000+ активных установок;6.3.2
Video Gallery — Api Gallery, YouTube and Vimeo, Link Gallery;https://ru.wordpress.org/plugins/new-video-gallery/;Видеогалерея Vimeo/YouTube. Плагин позволяет создавать галереи YouTube и Vimeo.;3 000+ активных установок;6.3.2
WordPress Email Marketing Plugin — WP Email Capture;https://ru.wordpress.org/plugins/wp-email-capture/;Double opt-in form for building your email list. Define landing pages to distribute your ebooks…;3 000+ активных установок;6.4
Appointment Booking Calendar;https://ru.wordpress.org/plugins/appointment-booking-calendar/;Календарь записи на прием — это календарь назначений для приема онлайн-заказов из набора доступных временных…;2 000+ активных установок;6.3.2
List Last Changes;https://ru.wordpress.org/plugins/list-last-changes/;Отображение списка последних изменений на WordPress-сайте.;2 000+ активных установок;6.3.2
Gosign — Contact Person Box Block;https://ru.wordpress.org/plugins/gosign-contact-person-box-block/;This plugin enables you to customize the contact person box block with title, discription phone…;2 000+ активных установок;6.0.6
WordPress CRM, Email & Marketing Automation for WordPress | Award Winner — Groundhogg;https://ru.wordpress.org/plugins/groundhogg/;Groundhogg is the best WordPress CRM & Marketing Automation plugin. Create funnels, email campaigns, newsletters,…;2 000+ активных установок;6.2.3
Premium Blocks for Gutenberg;https://ru.wordpress.org/plugins/premium-blocks-for-gutenberg/;Premium Blocks for Gutenberg helps you build amazing pages with the new WordPress Gutenberg editor.;2 000+ активных установок;6.3.2
Gosign — Background Container Block;https://ru.wordpress.org/plugins/gosign-background-container/;This plugin creates a background container which holds all kinds of elements with 40+ background…;2 000+ активных установок;6.0.6
